Recipe Title,Recipe URL,Ingredients,Cleaned Title,Cleaned Ingredients
Edamame with Sea Salt,https://cookpad.com/eng/recipes/24441777,fresh or frozen edamame soybean pods boiling water coarse coarse sea salt,edamame sea salt,edamame soybean pod water coarse coarse sea salt
Japanese Curry Udon,https://cookpad.com/eng/recipes/24431888,udon noodles leftover japanese curry dashi stock soy sauce mirin thinly sliced beef or chicken green onion,japanese curry udon,udon noodle leftover japanese curry dashi stock soy sauce mirin beef chicken green onion
Yaki Udon - Stir Fried Udon Noodles with Pork & Veggies,https://cookpad.com/eng/recipes/24421999,thick udon noodles thinly sliced pork belly cabbage carrot onion scallions soy sauce mirin dashi powder bonito flakes aonori pickled ginger,yaki udon stir fried udon noodle pork veggie,udon noodle pork belly cabbage carrot onion scallion soy sauce mirin dashi powder bonito flake aonori ginger
Yakisoba - Japanese Stir Fried Noodles,https://cookpad.com/eng/recipes/24412111,yakisoba noodles pork belly cabbage carrot bean sprouts yakisoba sauce kewpie mayonnaise aonori pickled red ginger,yakisoba japanese stir fried noodle,yakisoba noodle pork belly cabbage carrot bean sprout yakisoba sauce kewpie mayonnaise aonori red ginger
Nikujaga - Japanese Sweet Soy Braised Beef and Potatoes,https://cookpad.com/eng/recipes/24402222,thinly sliced beef potatoes onion carrot shirataki noodles dashi stock soy sauce sake mirin sugar snow peas,nikujaga japanese sweet soy braised beef potato,beef potato onion carrot shirataki noodle dashi stock soy sauce sake mirin sugar snow pea
Korokke - Japanese Potato Croquettes with Minced Beef,https://cookpad.com/eng/recipes/24392333,russet potatoes ground beef minced yellow onion butter salt black pepper flour egg panko breadcrumbs tonkatsu sauce,korokke japanese potato croquette minced beef,russet potato beef yellow onion butter salt black pepper flour egg panko breadcrumb tonkatsu sauce
Teriyaki Salmon with Glazed Soy Sauce,https://cookpad.com/eng/recipes/24382444,fresh salmon fillets soy sauce mirin sake sugar ginger juice sesame seeds steamed jasmine rice broccoli,teriyaki salmon glazed soy sauce,salmon fillet soy sauce mirin sake sugar ginger juice sesame seed jasmine rice broccoli
Miso Glazed Black Cod (Gindara Saikyo Yaki),https://cookpad.com/eng/recipes/24372555,black cod fillets saikyo sweet white miso mirin sake granulated sugar soy sauce,miso glazed black cod gindara saikyo yaki,black cod fillet saikyo sweet white miso mirin sake granulated sugar soy sauce
Matcha Dorayaki - Japanese Red Bean Pancakes,https://cookpad.com/eng/recipes/24362666,flour matcha green tea powder eggs sugar honey mirin baking soda sweet azuki red bean paste anko,matcha dorayaki japanese red bean pancake,flour matcha green tea powder egg sugar honey mirin soda sweet azuki red bean paste anko
Mochi Ice Cream - Sweet Rice Dumplings,https://cookpad.com/eng/recipes/24352777,mochiko sweet glutinous rice flour sugar water cornstarch vanilla matcha green tea strawberry ice cream scoops,mochi ice cream sweet rice dumpling,mochiko sweet glutinous rice flour sugar water cornstarch vanilla matcha green tea strawberry ice cream scoop
Taiyaki - Fish Shaped Waffle with Sweet Red Bean,https://cookpad.com/eng/recipes/24342888,cake flour baking powder sugar egg milk sweet red bean paste anko custard cream taiyaki mold,taiyaki fish shaped waffle sweet red bean,cake flour powder sugar egg milk sweet red bean paste anko custard cream taiyaki mold
Japanese Egg Salad Sando,https://cookpad.com/eng/recipes/24332999,hard boiled eggs kewpie japanese mayonnaise splash of milk pinch of sugar salt white pepper soft shokupan milk bread salted butter,japanese egg salad sando,hard boiled egg kewpie japanese mayonnaise splash milk sugar salt white pepper soft shokupan milk bread salted butter
Kakiage Tempura - Crispy Mixed Vegetable & Shrimp Fritters,https://cookpad.com/eng/recipes/24323111,small shrimp onion carrot mitsuba burdock root tempura flour ice water frying oil mentsuyu sauce,kakiage tempura crispy mixed vegetable shrimp fritter,shrimp onion carrot mitsuba burdock root tempura flour ice water frying oil mentsuyu sauce
Kushikatsu - Osaka Deep Fried Skewered Meat and Veggies,https://cookpad.com/eng/recipes/24313222,pork loin onion lotus root quail eggs panko breadcrumbs flour egg batter kushikatsu dipping sauce cabbage leaves,kushikatsu osaka deep fried skewered meat veggie,pork loin onion lotus root quail egg panko breadcrumb flour egg batter kushikatsu dipping sauce cabbage leaf
Ebi Fry - Japanese Crispy Fried Panko Shrimp,https://cookpad.com/eng/recipes/24303333,large shrimp black pepper salt flour beaten egg panko breadcrumbs tartar sauce lemon wedges shredded cabbage,ebi fry japanese crispy fried panko shrimp,shrimp black pepper salt flour egg panko breadcrumb tartar sauce lemon wedge cabbage
Curry Pan - Japanese Deep Fried Curry Bread,https://cookpad.com/eng/recipes/24293444,bread dough thick cooked japanese curry filling egg panko breadcrumbs frying oil,curry pan japanese deep fried curry bread,bread dough japanese curry filling egg panko breadcrumb frying oil
Kakigori - Japanese Shaved Ice with Matcha and Condensed Milk,https://cookpad.com/eng/recipes/24283555,finely shaved ice matcha green tea syrup sweetened condensed milk sweet red bean paste anko shiratama dango mochi,kakigori japanese shaved ice matcha condensed milk,shaved ice matcha green tea syrup sweetened condensed milk sweet red bean paste anko shiratama dango mochi
Anmitsu - Japanese Traditional Dessert Bowl,https://cookpad.com/eng/recipes/24273666,agar-agar kanten jelly cubes sweet azuki red bean paste shiratama dango canned fruit mandarin orange kuromitsu black sugar syrup,anmitsu japanese traditional dessert bowl,agar agar kanten jelly cube sweet azuki red bean paste shiratama dango canned fruit mandarin orange kuromitsu black sugar syrup
Oden - Winter Japanese Dashi Stew,https://cookpad.com/eng/recipes/24263777,daikon radish boiled eggs konjac chikuwa fish cakes hanpen fried tofu mochi kinchaku dashi broth soy sauce mirin karashi yellow mustard,oden winter japanese dashi stew,daikon radish boiled egg konjac chikuwa fish cake hanpen tofu mochi kinchaku dashi broth soy sauce mirin karashi yellow mustard
Soboro Don - Ground Chicken and Scrambled Egg Rice Bowl,https://cookpad.com/eng/recipes/24253888,ground chicken soy sauce sake mirin sugar ginger scrambled eggs green peas snow peas steamed rice,soboro ground chicken scrambled egg rice bowl,chicken soy sauce sake mirin sugar ginger scrambled egg green pea snow pea rice
Ten Don - Tempura Rice Bowl with Sweet Sauce,https://cookpad.com/eng/recipes/24243999,crispy shrimp tempura eggplant sweet potato nori tempura tentsuyu sweet glaze sauce soy sauce dashi sugar steamed rice,ten tempura rice bowl sweet sauce,crispy shrimp tempura eggplant sweet potato nori tempura tentsuyu sweet glaze sauce soy sauce dashi sugar rice
Unagi Chazuke - Grilled Eel Rice in Green Tea Dashi,https://cookpad.com/eng/recipes/24234111,grilled unagi eel steamed rice hot green tea dashi broth wasabi chopped nori scallions toasted sesame seeds,unagi chazuke grilled eel rice green tea dashi,grilled unagi eel rice green tea dashi broth wasabi nori scallion toasted sesame seed
Hiyashi Chuka - Cold Summer Ramen Salad,https://cookpad.com/eng/recipes/24224222,chilled ramen noodles sliced ham shredded egg omelet kinshi tamago cucumber strips imitation crab tomatoes sesame soy sauce vinegar dressing,hiyashi chuka cold summer ramen salad,chilled ramen noodle ham egg omelet kinshi tamago cucumber strip imitation crab tomato sesame soy sauce vinegar dressing
Saba Shioyaki - Salt Grilled Mackerel,https://cookpad.com/eng/recipes/24214333,fresh mackerel fillets sea salt grated daikon radish lemon wedge soy sauce steamed white rice,saba shioyaki salt grilled mackerel,mackerel fillet sea salt daikon radish lemon wedge soy sauce white rice
Tori Teriyaki - Glazed Chicken Teriyaki Rice Plate,https://cookpad.com/eng/recipes/24204444,chicken thigh fillets soy sauce mirin sake sugar sesame seeds steamed broccoli rice,torus teriyaki glazed chicken teriyaki rice plate,chicken thigh fillet soy sauce mirin sake sugar sesame seed broccoli rice
Nasu Dengaku - Miso Glazed Broiled Eggplant,https://cookpad.com/eng/recipes/24194555,japanese round eggplant red miso paste mirin sake sugar sesame oil toasted white sesame seeds,nasu dengaku miso glazed broiled eggplant,japanese round eggplant red miso paste mirin sake sugar sesame oil toasted white sesame seed
Kani Salad - Japanese Spicy Crab Cucumber Salad,https://cookpad.com/eng/recipes/24184666,imitation crab meat cucumber shreds carrot panko kewpie mayonnaise sriracha sauce tobiko flying fish roe,kani salad japanese spicy crab cucumber salad,imitation crab meat cucumber shred carrot panko kewpie mayonnaise sriracha sauce tobiko flying fish roe
Chashu Fried Rice (Yakimeshi),https://cookpad.com/eng/recipes/24174777,cooked day-old rice diced chashu pork belly eggs chopped scallions green onions soy sauce sesame oil salt white pepper,chashu fried rice yakimeshi,day old rice chashu pork belly egg scallion green onion soy sauce sesame oil salt white pepper
Mentaiko Pasta - Spicy Cod Roe Spaghetti,https://cookpad.com/eng/recipes/24164888,spaghetti pasta spicy mentaiko pollock roe butter heavy cream soy sauce shredded nori seaweed mitsuba,mentaiko pasta spicy cod roe spaghetti,spaghetti pasta spicy mentaiko pollock roe butter heavy cream soy sauce nori seaweed mitsuba
Japanese Milk Crepe Cake,https://cookpad.com/eng/recipes/24154999,thin crepe layers flour milk eggs butter sugar vanilla fresh whipped cream powdered sugar,japanese milk crepe cake,crepe layer flour milk egg butter sugar vanilla whipped cream powdered sugar
Shio Ramen - Light Sea Salt Broth Noodles,https://cookpad.com/eng/recipes/24145111,ramen noodles clear chicken dashi broth sea salt shio tare chashu menma green onion soft boiled egg,shio ramen light sea salt broth noodle,ramen noodle clear chicken dashi broth sea salt shio tare chashu menma green onion soft boiled egg
Abura Soba - Soupless Oil Ramen Noodles,https://cookpad.com/eng/recipes/24135222,thick ramen noodles pork oil soy tare sauce vinegar chili rayu oil chashu raw egg yolk green onions minced garlic menma,abura soba soupless oil ramen noodle,ramen noodle pork oil soy tare sauce vinegar chili rayu oil chashu egg yolk green onion garlic menma
Tsukemen - Dipping Ramen Noodles with Rich Broth,https://cookpad.com/eng/recipes/24125333,chilled extra thick ramen noodles ultra rich concentrated pork seafood dashi dipping soup chashu nori lime wedge scallions,tsukemen dipping ramen noodle rich broth,chilled ramen noodle ultra rich concentrated pork seafood dashi dipping soup chashu nori lime wedge scallion
Japanese Hamburg Curry,https://cookpad.com/eng/recipes/24115444,juicy beef and pork hamburg steak japanese curry sauce steamed white rice fried egg melted cheese,japanese hamburg curry,juicy beef pork hamburg steak japanese curry sauce white rice egg cheese
Tendon Tempura Rice Bowl,https://cookpad.com/eng/recipes/24105555,crispy tempura shrimp pumpkin green beans sweet dashi soy tare sauce steamed white rice,tendon tempura rice bowl,crispy tempura shrimp pumpkin green bean sweet dashi soy tare sauce white rice
Kaki Fry - Japanese Deep Fried Panko Oysters,https://cookpad.com/eng/recipes/24095666,fresh oysters flour egg panko breadcrumbs frying oil japanese tartar sauce lemon wedges,kaki fry japanese deep fried panko oyster,oyster flour egg panko breadcrumb frying oil japanese tartar sauce lemon wedge
Omurice - Japanese Omelette Rice with Demi-Glace Sauce,https://cookpad.com/eng/recipes/24085777,ketchup chicken fried rice fluffy soft scrambled egg omelette demi-glace or tomato sauce fresh parsley,omurice japanese omelette rice demi glace sauce,ketchup chicken rice fluffy soft scrambled egg omelette demi glace tomato sauce parsley
Dashi Rolled Omelette with Cheese (Cheesy Tamagoyaki),https://cookpad.com/eng/recipes/24075888,eggs dashi broth soy sauce mirin mozzarella cheese nori flakes,dashi rolled omelette cheese cheesy tamagoyaki,egg dashi broth soy sauce mirin mozzarella cheese nori flake
Japanese Pickled Daikon Radish (Takuan),https://cookpad.com/eng/recipes/24065999,daikon radish rice vinegar sugar sea salt turmeric powder water,japanese pickled daikon radish takuan,daikon radish rice vinegar sugar sea salt turmeric powder water
Salmon Teriyaki Bento Bowl,https://cookpad.com/eng/recipes/24056111,pan seared salmon fillet teriyaki glaze sauce steamed edamame tamagoyaki rolled egg pickled ginger steamed rice,salmon teriyaki bento bowl,pan seared salmon fillet teriyaki glaze sauce edamame tamagoyaki rolled egg ginger rice
Tuna Mayo Onigiri,https://cookpad.com/eng/recipes/24046222,canned tuna kewpie japanese mayonnaise soy sauce salt steamed short-grain rice crispy nori sheet,tuna mayo onigiri,canned tuna kewpie japanese mayonnaise soy sauce salt short grain rice crispy nori sheet
Umeboshi Sour Plum Onigiri,https://cookpad.com/eng/recipes/24036333,pickled sour umeboshi plum steamed short-grain rice sea salt crispy toasted nori sheet,umeboshi sour plum onigiri,sour umeboshi plum short grain rice sea salt crispy toasted nori sheet
Japanese Souffle Pancakes,https://cookpad.com/eng/recipes/24026444,egg whites sugar egg yolks milk cake flour baking powder vanilla butter maple syrup whipped cream,japanese souffle pancake,egg white sugar egg yolk milk cake flour powder vanilla butter maple syrup whipped cream
Matcha Ice Cream,https://cookpad.com/eng/recipes/24016555,ceremonial grade matcha powder heavy cream whole milk sugar egg yolks vanilla,matcha ice cream,ceremonial grade matcha powder heavy cream milk sugar egg yolk vanilla
Hojicha Latte Float,https://cookpad.com/eng/recipes/24006666,roasted green tea hojicha leaves hot water whole milk simple syrup vanilla ice cream scoop,hojicha latte float,green tea hojicha leaf water milk simple syrup vanilla ice cream scoop
Chicken Katsu Curry,https://cookpad.com/eng/recipes/23996777,crispy panko breaded chicken breast cutlet japanese brown curry sauce carrots potatoes steamed rice fukujinzuke pickles,chicken katsu curry,crispy panko breaded chicken breast cutlet japanese brown curry sauce carrot potato rice fukujinzuke pickle
Pork Belly Kakuni - Melt in Mouth Braised Pork,https://cookpad.com/eng/recipes/23986888,thick pork belly cubes daikon radish ginger scallions dashi soy sauce mirin sake rock sugar boiled eggs karashi mustard,pork belly kakuni melt mouth braised pork,pork belly cube daikon radish ginger scallion dashi soy sauce mirin sake rock sugar boiled egg karashi mustard
Japanese Garlic Fried Rice,https://cookpad.com/eng/recipes/23976999,day old white rice crispy garlic chips minced garlic butter soy sauce green onions salt black pepper,japanese garlic fried rice,day old white rice crispy garlic chip garlic butter soy sauce green onion salt black pepper
Wagyu Beef Yakiniku Rice Bowl,https://cookpad.com/eng/recipes/23967111,grilled a5 wagyu beef slices yakiniku dipping sauce soy sauce mirin garlic sesame oil toasted sesame seeds green onion steamed rice,wagyu beef yakiniku rice bowl,grilled wagyu beef yakiniku dipping sauce soy sauce mirin garlic sesame oil toasted sesame seed green onion rice
Kinoko Gohan - Japanese Mushroom Rice,https://cookpad.com/eng/recipes/23957222,short grain rice shiitake shimeji maitake mushrooms dashi broth soy sauce sake mirin aburaage fried tofu,kinoko gohan japanese mushroom rice,short grain rice shiitake shimeji maitake mushroom dashi broth soy sauce sake mirin aburaage tofu
Asari no Sakamushi - Clams Steamed in Sake,https://cookpad.com/eng/recipes/23947333,fresh manila clams japanese sake soy sauce butter minced garlic green onions sliced chili pepper,asari sakamushi clam steamed sake,manila clam japanese sake soy sauce butter garlic green onion chili pepper
Japanese Chicken Sukiyaki,https://cookpad.com/eng/recipes/23937444,chicken thighs tofu shirataki konjac noodles napa cabbage scallions shiitake mushrooms sukiyaki sauce soy sauce mirin sake sugar,japanese chicken sukiyaki,chicken thigh tofu shirataki konjac noodle napa cabbage scallion shiitake mushroom sukiyaki sauce soy sauce mirin sake sugar
Torikawa - Crispy Grilled Chicken Skin Skewers,https://cookpad.com/eng/recipes/23927555,chicken skin salt black pepper tare glaze soy sauce sake mirin lemon wedge,torikawa crispy grilled chicken skin skewer,chicken skin salt black pepper tare glaze soy sauce sake mirin lemon wedge
Gyu Katsu - Rare Deep Fried Beef Cutlet,https://cookpad.com/eng/recipes/23917666,beef tenderloin sirloin flour egg panko breadcrumbs wasabi soy sauce rock salt tonkatsu sauce cabbage,gyu katsu rare deep fried beef cutlet,beef tenderloin sirloin flour egg panko breadcrumb wasabi soy sauce rock salt tonkatsu sauce cabbage
Egg Ramen,https://cookpad.com/eng/recipes/23907777,ramen noodles soft boiled seasoned egg dashi chicken broth soy sauce green onion sesame oil nori,egg ramen,ramen noodle soft boiled seasoned egg dashi chicken broth soy sauce green onion sesame oil nori
